pk_dt_abertura,data,ano,mes,nu_mes
13447,27/10/1975,1975,OUT,10
12565,15/04/1987,1987,ABR,4
12370,29/09/1976,1976,SET,9
13473,24/10/1988,1988,OUT,10
13479,26/04/1984,1984,ABR,4
13485,29/06/2004,2004,JUN,6
12662,26/08/1997,1997,AGO,8
3785,08/04/2009,2009,ABR,4
12847,22/03/1985,1985,MAR,3
1278,26/08/1996,1996,AGO,8
14808,22/07/1986,1986,JUL,7
1346,12/10/2011,2011,OUT,10
11827,04/10/1979,1979,OUT,10
14012,18/01/1980,1980,JAN,1
3793,16/12/2010,2010,DEZ,12
11096,08/11/2007,2007,NOV,11
13508,30/10/1989,1989,OUT,10
3231,31/08/2007,2007,AGO,8
3799,28/11/2008,2008,NOV,11
3458,07/05/1998,1998,MAI,5
3802,17/05/1991,1991,MAI,5
13520,09/02/1982,1982,FEV,2
10515,11/11/2008,2008,NOV,11
3807,06/06/1991,1991,JUN,6
8929,29/12/1975,1975,DEZ,12
12124,29/08/1995,1995,AGO,8
8981,06/11/1996,1996,NOV,11
9015,11/07/2001,2001,JUL,7
12702,03/07/1997,1997,JUL,7
3814,10/11/1993,1993,NOV,11
9536,15/10/2008,2008,OUT,10
3817,21/10/1975,1975,OUT,10
10779,25/11/1999,1999,NOV,11
13529,21/06/1971,1971,JUN,6
3822,23/10/1997,1997,OUT,10
3824,29/06/1990,1990,JUN,6
3826,20/04/1994,1994,ABR,4
13243,22/07/1976,1976,JUL,7
3034,21/07/2008,2008,JUL,7
3830,20/06/1989,1989,JUN,6
3832,11/12/2011,2011,DEZ,12
13544,24/07/2006,2006,JUL,7
771,28/12/1984,1984,DEZ,12
9658,20/12/1996,1996,DEZ,12
13571,09/12/1976,1976,DEZ,12
3840,12/05/1975,1975,MAI,5
3842,22/05/1997,1997,MAI,5
2787,04/02/1997,1997,FEV,2
11505,17/08/1977,1977,AGO,8
3846,02/05/1998,1998,MAI,5
13141,14/05/1999,1999,MAI,5
12550,19/02/1997,1997,FEV,2
3850,21/10/2008,2008,OUT,10
3093,13/08/1998,1998,AGO,8
3853,30/09/1991,1991,SET,9
3855,26/03/1992,1992,MAR,3
10737,31/03/2008,2008,MAR,3
