pk_cnae,nu_ordem,cd_ramo_atividade,cnae_dig2,de_ramo_atividade,ramo_atividade,divisao
21608,3,4744004,47,COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21608,4,4744099,47,OBRAS DE ALVENARIA,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21609,0,4330404,43,OBRAS DE ALVENARIA,INDÚSTRIA DIGITAL,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
21609,1,4399103,43,SERVICOS DE PINTURA DE EDIFICIOS EM GERAL,INDÚSTRIA DIGITAL,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
21610,0,4757100,47,"COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21611,0,4712100,47,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21612,0,4784900,47,COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21613,0,2542000,25,"FABRICACAO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS",TELECOM,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS"
21613,1,2599301,25,"INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL",TELECOM,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS"
21613,2,4321500,43,INSTALACAO E MANUTENCAO ELETRICA,INDÚSTRIA DIGITAL,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
21613,3,4330402,43,OBRAS DE ALVENARIA,INDÚSTRIA DIGITAL,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
21613,4,4399103,43,SERVICOS DE CONFECCAO DE ARMACOES METALICAS PARA A CONSTRUCAO,INDÚSTRIA DIGITAL,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
21614,0,9430800,94,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21614,1,9493600,94,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
