pk_endereco,nm_logradouro,nu_logradouro,nm_bairro,nm_municipio,cd_cep,sg_uf,vl_latitude,vl_longitude
2,ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,RECANTO CAMPO BELO,SAO PAULO,04880230,SP,"-23,5505199","-46,6333094"
4,RUA DO CRUZEIRO,495,JOAO SOARES,ITABUNA,45604620,BA,"-14,7809311","-39,2636"
6,RUA VITOR DE QUEIROZ MATOS,105,PARQUE SAO LUCAS,SAO PAULO,03263010,SP,"-23,5907593","-46,5486725"
8,RUA ANTONIO GALDINO MARCA,167,VILA CAXIAS,ALEM PARAIBA,36660000,MG,"-21,8833835","-42,6985095"
10,RUA PORTAO DA PIEDADE,155,BARRIS,SALVADOR,40070045,BA,"-12,9830488","-38,5136913"
12,AVENIDA CANDIDO PORTINARI,970,VILA JAGUARA,SAO PAULO,05114001,SP,"-23,5072955","-46,7555407"
14,RUA 24 DE MAIO,574,VILA TARUMA,PINHAIS,83323060,PR,"-25,4387247","-49,1949172"
16,RUA DESEMBARGADOR JAIME,141,SETOR CENTRAL,ANAPOLIS,75020040,GO,"-16,3273047","-48,9533426"
18,RUA VAIL JUSTINIANO TOLEDO,113,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,19700000,SP,"-22,432076","-50,5803154"
20,RUA PARAENSE,SN,CENTRO,AXIXA DO TOCANTINS,77930000,TO,"-5,6149591","-47,7708204"
22,AVENIDA ESTADO,623,RECANTO DO SOL,ANAPOLIS,75074590,GO,"-16,2806113","-48,9319839"
24,RUA ANTONIO CHICALHONE,218,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,13290000,SP,"-23,0864185","-46,9770708"
26,RUA AMANARU,152,RAMOS,RIO DE JANEIRO,21031590,RJ,"-22,8492135","-43,2540858"
28,ESTRADA VARGEM GRANDE,115,VARGEM GRANDE,APIUNA,89135000,SC,"-27,0337085","-49,3872519"
30,AVENIDA EXPEDITO GARCIA,104,CAMPO GRANDE,CARIACICA,29146200,ES,"-20,3433882","-40,3875092"
32,RUA HARROLD LAFFIN,208,GUARANI MIRIM,MASSARANDUBA,89108000,SC,"-26,6109126","-49,0091505"
34,RUA BATISTA RAFFI,803,JARDIM APARECIDA,CAMPINAS,13068601,SP,"-22,8525901","-47,1565107"
36,AVENIDA DOM PEDRO II,3180,CAICARAS,BELO HORIZONTE,30720460,MG,"-19,9120148","-43,9711978"
38,AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,VILA LEOPOLDINA,SAO PAULO,05314000,SP,"-23,5505199","-46,6333094"
40,PRACA RAMATIS,161,PARQUE RIACHUELO,BELO HORIZONTE,31230000,MG,"-19,8909944","-43,9523488"
42,RUA ANTONIO SANGOI NETO,156,JUSCELINO KUBITSCHEK,SANTA MARIA,97035090,RS,"-29,6963563","-53,844565"
44,RUA DO COMERCIO,102,ARAPORANGA,SANTANA DO CARIRI,63190000,CE,"-7,1882638","-39,7376748"
46,LOCALIDADE BELA VISTA DO SUL,SN,BELA VISTA SUL,MAFRA,89300000,SC,"-26,1117326","-49,8065079"
48,RUA JOAO SABINO ANDRADE,70A,MATRIZ,VITORIA DE SANTO ANTAO,55602005,PE,"-8,1138885","-35,2915134"
50,RUA CASA DO ATOR,275,VILA OLIMPIA,SAO PAULO,04546004,SP,"-23,6001428","-46,6763564"
52,AVENIDA AFONSO PENA,1825,APARECIDA,UBERLANDIA,38400706,MG,"-18,908382","-48,270572"
54,AVENIDA LUCIANINHO MELLI,42,VILA NOVA OSASCO,OSASCO,06080010,SP,"-23,541913","-46,7788579"
56,RUA ANGELO PETRONINI,478,CENTRO,MENDONCA,15220000,SP,"-21,1900316","-49,580999"
58,RUA MAJOR ANTONIO T CARDOSO,223,CENTRO,ROQUE GONZALES,97970000,RS,"-28,1322847","-55,0223579"
60,RUA PRINCESA ISABEL,238,CENTRO,JOINVILLE,89211595,SC,"-26,2993337","-48,844535"
62,ESTRADA GERAL DO MORRO AGUDO,305,ITACOLOMI,GRAVATAI,94090120,RS,"-29,8744377","-50,9984135"
64,RUA GAMA CERQUEIRA,323,CAMBUCI,SAO PAULO,01539010,SP,"-23,5702953","-46,6197298"
66,RUA POMPILHO GUIMARAES,171,FABRICA,LEOPOLDINA,36700000,MG,"-21,5368229","-42,6413579"
68,LOCALIDADE VILA FATIMA,SN,INTERIOR,VARGEM,89638000,SC,"-27,4872075","-50,9728528"
70,RUA PROFESSOR ALMEIDA COUSIN,125,ENSEADA DO SUA,VITORIA,29050565,ES,"-20,3137737","-40,2941848"
72,RUA MARECHAL SEREJO,133,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,22743380,RJ,"-22,9249284","-43,3431213"
74,LOCALIDADE DE LINHA PROGRESSO,SN,CENTRO,SANTA HELENA,85892000,PR,"-24,8569233","-54,3334256"
76,RUA MIGUEL GLINKA,-,JARDIM CATARINA,SAO GONCALO,24716072,RJ,"-22,7853052","-43,0051048"
78,VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,ZONA RURAL,COSMORAMA,15530000,SP,"-20,4780031","-49,7779205"
80,RUA JOSE BONIFACIO,180,CENTRO,SAO CARLOS,13560160,SP,"-22,0268377","-47,8934375"
82,RUA JOSE HILARIO,SN,VILA PIEDADE,ITABIRA,35900202,MG,"-19,6284156","-43,220858"
84,AVENIDA BARAO DE MAUA,50,CHACARA INGLESA,SAO BERNARDO DO CAMPO,09726000,SP,"-23,6911701","-46,5606889"
86,AVENIDA EUSEBIO MATOSO,690,PINHEIROS,SAO PAULO,05423000,SP,"-23,5714458","-46,697283"
88,RUA ANGELO VARELA,9,CENTRO,ALTO DO RODRIGUES,59507000,RN,"-5,2887251","-36,7603816"
90,AVENIDA SENADOR ALBERTO PASQUALINI,193,CENTRO,LAJEADO,95900034,RS,"-29,4589733","-51,9673123"
92,RUA JOSE ALVES DOS SANTOS FILHO,SN,CENTRO,ESPLANADA,48370000,BA,"-11,7946561","-37,9435616"
94,RUA OLAVO BILAC,1,CENTRO,ANANAS,77890000,TO,"-6,3685511","-48,0697669"
96,RUA EGEO BENTO FRATICCELI,311,JARDIM BOM JESUS,PIRAPORA DO BOM JESUS,06550000,SP,"-23,3969772","-46,9995522"
98,RUA ROXO MOREIRA,76,CIDADE UNIVERSITARIA,CAMPINAS,13083590,SP,"-22,812618","-47,0761302"
100,RUA PINHEIROS,72,PAULICEIA,SAO BERNARDO DO CAMPO,09692020,SP,"-23,6698174","-46,5853564"
102,AVENIDA SAO PAULO,503,CENTRO,MARACAI,19840000,SP,"-22,6105462","-50,6671498"
104,FAZENDA SAO JOSE,SN,AGUA DO MELCHIOR,ASSIS,19804355,SP,"-22,6606373","-50,404369"
106,RUA A,663,CONJUNTO CONFISCO,BELO HORIZONTE,31360390,MG,"-19,997465","-44,0423971"
108,RUA DOS ILHEUS,10,CENTRO,FLORIANOPOLIS,88010560,SC,"-27,5969056","-48,5486711"
110,RUA TREZE DE MAIO,200,VILA GALVAO,GUARULHOS,07071050,SP,"-23,4556501","-46,5659188"
112,SITIO MURICI,16,MURICI,CARUARU,55000000,PE,"-8,2849639","-35,9701874"
114,AVENIDA GETULIO VARGAS,1268,CENTRO,SAO JOAO,85570000,PR,"-25,8335554","-52,7304154"
116,RUA JAGUARI,723,SANTA TEREZA,PORTO ALEGRE,90820180,RS,"-30,0875704","-51,2356869"
118,RUA JOSE NICOLINI,8,NICOLANDIA,RESPLENDOR,35235000,MG,"-19,3244066","-41,2513767"
120,RODOVIA BR 376,3475,PARQUE INDUSTRIAL,MANDAGUARI,86975000,PR,"-23,5259717","-51,6790774"
122,AVENIDA ADOLFO PINHEIRO,3520,SANTO AMARO,SAO PAULO,04734003,SP,"-23,6317575","-46,6913253"
124,AVENIDA F A,150,SAO FILIPE,PIMENTA BUENO,76970000,RO,"-11,6821425","-61,1765191"
126,RODOVIA BR 163,SN,ZONA RURAL,JARAGUARI,79440000,MS,"-20,7683924","-54,5282522"
128,RUA SAPOPEMBA,14B,JARDIM VITORIA REGIA ZONA NORTE,SAO PAULO,02859140,SP,"-23,4383937","-46,7079522"
130,AVENIDA DA PENHA,570,PRAIA DO CANTO,VITORIA,29055131,ES,"-20,3058891","-40,2963769"
132,SITIO SAO JOSE,SN,BOA VISTA,SAO MIGUEL ARCANJO,18230000,SP,"-23,8888022","-47,9811739"
134,AVENIDA JOAO PEREIRA DE VARGAS,2884,NOVA SAPUCAIA,SAPUCAIA DO SUL,93230210,RS,"-29,8450304","-51,1373736"
136,RUA RADIALISTA M SOBRINHO,95,CEU AZUL II,BELO HORIZONTE,30001970,MG,"-19,8122294","-44,0050075"
138,RUA CARDEAL STEPINAC,592,CIDADE NOVA,BELO HORIZONTE,31170220,MG,"-19,8868188","-43,924144"
140,AVENIDA ITABERABA,3623,VILA MARACANA,SAO PAULO,02739000,SP,"-23,4778099","-46,6820484"
142,RUA CORONEL MUNDICO SA,222,CENTRO,OEIRAS,64500000,PI,"-7,0136487","-42,1322099"
144,RUA DONA ZULMIRA,498,CAVALHADA,PORTO ALEGRE,90830240,RS,"-30,0956211","-51,2272425"
146,RUA ALVARES AZEVEDO,190,VILA SOFIA,SAO PAULO,04671040,SP,"-23,657769","-46,693659"
148,RUA LUIZ VIANA,5,CENTRO,CAETANOS,45265000,BA,"-14,3354678","-40,9046493"
150,RUA GUARUJA,1,JARDIM PAULISTANO,RIBEIRAO PRETO,14090283,SP,"-21,1839696","-47,7938219"
152,AVENIDA BERNARDINO DE CAMPOS,12,CENTRO,AMPARO,13900400,SP,"-22,7055965","-46,7693964"
154,AVENIDA JOAO DURVAL CARNEIRO,SN,RODOVIARIO,SENHOR DO BONFIM,48970000,BA,"-10,4546513","-40,1819714"
156,RUA SAOA PAULO,220,CENTRO,LUNARDELLI,86935000,PR,"-24,0778289","-51,7418756"
158,RUA DOS BANDEIRANTES,125,MATATU DE BROTAS,SALVADOR,40260120,BA,"-12,9726504","-38,4938111"
160,RUA QUINTINO MOREIRA,12,-,PARAOPEBA,35774000,MG,"-19,2760428","-44,405245"
162,RUA MIGUEL CALMON,63,COMERCIO,SALVADOR,40015010,BA,"-12,9718268","-38,5129729"
164,RODOVIA MT 308,SN,ZONA RURAL,DIAMANTINO,78400000,MT,"-14,4040989","-56,4370932"
166,AVENIDA PRESIDENTE KENNEDY,409,SEDE,LAGARTO,49400000,SE,"-10,9122056","-37,6708401"
168,RUA ODETTE PACHECO,184,SAO GERARDO,FORTALEZA,60325580,CE,"-3,7271625","-38,5550863"
170,RUA AFONSO CELSO,561,CENTRO,SALVADOR,40140080,BA,"-13,0081176","-38,527092"
172,RUA MINAS GERAIS,SN,CENTRO,CRISTALINA,73850000,GO,"-16,7631914","-47,6075051"
174,RUA DA BANDEIRA,52,CENTRO,CARIRE,62184000,CE,"-3,94904","-40,4736592"
176,RUA RICARDO EMILIO MICHEL,66,CIDADE INDUSTRIAL,CURITIBA,81250610,PR,"-25,4876981","-49,3406071"
178,AVENIDA DAS BANDEIRAS,806,JARDIM NHANHA,CAMPO GRANDE,79081310,MS,"-20,4798635","-54,6215663"
180,AVENIDA ANTONIETA PASQUARELLI PENTEADO,170,ALTOS DE JORDANESIA,CAJAMAR,07786515,SP,"-23,3362278","-46,8345215"
182,RUA JOAO CLAPP,542,CAMPOS ELISEOS,RIBEIRAO PRETO,14080350,SP,"-21,1606727","-47,8024612"
184,RUA ANAI,33,VILA INDUSTRIAL,SAO PAULO,03253040,SP,"-23,6093521","-46,5320263"
186,PRACA DA SOLEDADE,53,CENTRO,LAGOA DO CARRO,55820000,PE,"-7,844248","-35,3111011"
188,AVENIDA VEREADOR D PASSARINHO,1013,VL PRUDENCIANA,ASSIS,19807155,SP,"-22,6710153","-50,4381695"
190,AVENIDA PRINCIPAL,SN,SERRA DOS DOURADOS,UMUARAMA,87504616,PR,"-23,7661064","-53,3206105"
192,RUA VITORINO BACELAR,223,CENTRO,MAFRA,89300000,SC,"-26,1117326","-49,8065079"
194,ESTRADA BENEDITO CESARIO DE OLIVEIRA,588,VILA IASI,TABOAO DA SERRA,06767280,SP,"-23,6214512","-46,7888221"
196,RUA 6,SN,VILA OSVALDO ROSA,GOIANIA,74633400,GO,"-16,6591068","-49,278129"
198,RUA CUSTODIO NASCIMENTO,20,JARDIM ROSELI,SAO PAULO,08380059,SP,"-23,5948436","-46,4432643"
200,TRECHO PORTUGUES,39,CENTRO,CARATINGA,35300068,MG,"-19,7896207","-42,1415419"
202,AVENIDA ITABERABA,5107,VILA N CACHOEIRINHA,SAO PAULO,02739000,SP,"-23,474187","-46,6693958"
204,RUA DEDI BARICHELLO MONTAGNER,SN,CENTRO NORTE,DOIS VIZINHOS,85660000,PR,"-25,7464549","-53,0615734"
206,RUA GETULIO VARGAS,SN,CENTRO,COREMAS,58770000,PB,"-7,0190869","-37,9440765"
208,RUA COMENDADOR ANTONIO ALVES,704,CENTRO,PEDRO LEOPOLDO,33600970,MG,"-19,6213368","-44,0415215"
210,RUA XV DE NOVEMBRO,51,CENTRO,VALPARAISO,16880000,SP,"-21,2254231","-50,8683504"
212,AVENIDA DA SAUDADE,32,CHACARA HORIZONTE,COSMOPOLIS,13150000,SP,"-22,6482084","-47,1886192"
214,RODOVIA SC 405,112,CAMPECHE,FLORIANOPOLIS,88065000,SC,"-27,6619842","-48,501835"
216,RUA DO RUSSEL,SN,JARDIM BURITI SERENO,APARECIDA DE GOIANIA,74942470,GO,"-16,820257","-49,2473044"
218,RUA ALVES DE BRITO,141,CENTRO,FLORIANOPOLIS,88015440,SC,"-27,5859254","-48,5471612"
220,PRACA DOUTOR GAMA,476,CENTRO,BIRIGUI,16200003,SP,"-21,28913","-50,34124"
222,RUA ALEIXO RODRIGUES DE QUEIROZ,840,VILA INDUSTRIAL,ANAPOLIS,75115010,GO,"-16,328546","-48,953403"
224,FAZENDA MARACUJA,SN,AREA RURAL,DIVINOPOLIS,35500970,MG,"-20,1451261","-44,8916447"
225,RUA GRACIOSA FABRO,114,DIAMANTINO,CAXIAS DO SUL,95055065,RS,"-29,1557242","-51,1393047"
227,RUA PEROLINA ARAUJO,166,CENTRO,NOSSA SENHORA DE LOURDES,49890000,SE,"-10,0776488","-37,0570297"
229,SITIO MONTE AZUL,SN,DUAS PONTES,BALBINOS,16640000,SP,"-21,8967699","-49,3623695"
231,RUA ALBINO B GABRIL,227,VILA CRUZEIRO,SAO PAULO,04727030,SP,"-23,6427249","-46,7134267"
233,RUA APOL SATHLER,86,SANTA RITA,GOVERNADOR VALADARES,35040060,MG,"-18,8549317","-41,9559233"
235,SITIO SAO BENEDITO,SN,AGUA DO FOGO,CANDIDO MOTA,19880000,SP,"-22,7466667","-50,3880476"
236,RUA ANTONIO LOSSO,972,CONRADINHO,GUARAPUAVA,85055310,PR,"-25,3695058","-51,4636864"
238,RUA LONDRES,450,VILA LONDRINA,SAO PAULO,03731030,SP,"-23,5107859","-46,5360225"
240,RUA HEITOR PENTEADO,1759,SUMAREZINHO,SAO PAULO,05437000,SP,"-23,5438399","-46,6943593"
242,RUA DESEMBARGADOR MOTTA,2308,CENTRO,CURITIBA,80420190,PR,"-25,435128","-49,2829662"
244,AVENIDA DO AGRICULTOR,SN,SAO FELIX,RIACHO DE SANTANA,46470000,BA,"-13,6063873","-42,9400663"
246,PRACA GAGO COUTINHO,SN,SAO CRISTOVAO,SALVADOR,41510045,BA,"-12,9141607","-38,336459"
248,RUA DOUTOR ATALIBA LEONEL,225,CENTRO,TAQUARITUBA,18740000,SP,"-23,5334414","-49,2439031"
250,AVENIDA DOUTOR VITAL BRASIL,1108,BUTANTA,SAO PAULO,05503000,SP,"-23,5688671","-46,7147589"
252,RUA MANUEL DE MACEDO,386,JARDIM PIRATININGA,RIBEIRAO PRETO,14030560,SP,"-21,1830653","-47,8363908"
254,RUA DO URUGUAI,753,URUGUAI,SALVADOR,40454260,BA,"-12,9299892","-38,4924987"
256,RUA CLAUDIONOR WANDERLEY,74,BOA VIAGEM,SALVADOR,40301155,BA,"-12,9303016","-38,5120363"
258,AVENIDA MARECHAL HERMES,200,CANTO DO FORTE,PRAIA GRANDE,11700250,SP,"-24,0126477","-46,406233"
260,RUA LUDGERO GUILHERME COSTA,111A,CENTRO,REDENCAO,62790000,CE,"-4,2238817","-38,7302215"
262,RUA FRANCISCO DE ASSIS,25,BOQUEIRAO,GUARAPUAVA,85022220,PR,"-25,4135668","-51,4746181"
264,RUA DOM PEDRO II,1499,SAO CRISTOVAO,PORTO VELHO,76804027,RO,"-8,760919","-63,8962021"
266,RUA MARCILIO DIAS,380,VARZEA,LAGES,88511570,SC,"-27,8361769","-50,3106181"
268,AVENIDA MENDEL,61,JK,SETE LAGOAS,35702192,MG,"-19,4204056","-44,2442282"
270,RUA DO MINUANO,223,JARDIM MARCOS ROBERTO,CAMPO GRANDE,79080520,MS,"-20,4855858","-54,6285346"
272,RODOVIA BA 52,900,ALFREDO HENRIQUE SAMPAIO,XIQUE XIQUE,47400000,BA,"-10,8234273","-42,724969"
274,RUA INDUSTRIAL,180,POSSE,NOVA IGUACU,26021150,RJ,"-22,7319933","-43,4554915"
276,RUA VICENTE FRANCO TOLENTINO,132,PARQUE SANTA MADALENA,SAO PAULO,03982180,SP,"-23,6125469","-46,506455"
278,AVENIDA ROBERT KENNEDY,3073,JARDIM BRASILANDIA,SAO BERNARDO DO CAMPO,09860122,SP,"-23,7177081","-46,5732203"
280,PRACA VEREADOR JOSE MARQUES BORGES,78,CENTRO,RIO DO ANTONIO,46220000,BA,"-14,4075968","-42,0724884"
282,AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,560,SANTA QUITERIA,CURITIBA,80320300,PR,"-25,4572615","-49,3034942"
284,RUA FREI EUSTAQUIO,52A,SAO JUDAS TADEU,MONTES CLAROS,39400612,MG,"-16,7473624","-43,8609503"
286,RUA JOAO DE SIQUEIRA AFONSO,281,LAJEADO,SAO PAULO,08452000,SP,"-23,5379837","-46,3959428"
288,RUA WILSON TRONCOSO,958,RESIDENCIAL ALVORADA,BIRIGUI,16204155,SP,"-21,2915055","-50,3436312"
290,RUA FRANCISCO VALOIS,SN,SETOR INDUSTRIAL AEROPORTO,ANAPOLIS,75104280,GO,"-16,3596741","-48,9269257"
292,RUA PARAIBA,SN,CENTRO,LUIS EDUARDO MAGALHAES,47850000,BA,"-12,079662","-45,7988017"
294,RUA ALFREDO SCHURIG,67,CENTRO,JACAREI,12327005,SP,"-23,305827","-45,9691692"
296,RUA F,386,UNIAO,PARAUAPEBAS,68515000,PA,"-6,0686758","-49,9050556"
298,ESTRADA MUNICIPAL TURIUBA A MONCOES,-,PALMEIRAS,TURIUBA,15280000,SP,"-20,9475914","-50,1104467"
300,RUA ALIADOS,484,CAMPOS ELISEOS,RIBEIRAO PRETO,14080570,SP,"-21,1502253","-47,8020031"
302,RUA DEPUTADO LACERDA FRANCO,553,PINHEIROS,SAO PAULO,05418001,SP,"-23,5607191","-46,6926222"
304,RUA FRANCISCO KNABBEM,SN,TERMAS DO GRAVATAL,GRAVATAL,88735000,SC,"-28,3212662","-49,0431687"
306,SITIO SINAI,SN,CAMPINAL,PRESIDENTE EPITACIO,19470000,SP,"-21,7668575","-52,1096427"
308,AVENIDA OTTO BAUMGART,500,VILA GUILHERME,SAO PAULO,02049000,SP,"-23,5144575","-46,615003"
310,RUA PC ALEXANDRITA,205,LOTEAMENTO ELDORADO,VIAMAO,94431700,RS,"-30,0722165","-51,0969571"
312,PRAIA DE BOTAFOGO,501,BOTAFOGO,RIO DE JANEIRO,22250040,RJ,"-22,9504707","-43,180611"
314,RUA MARIA FRANCISCA PEREIRA,50,PARQUE ROOSEVELT,BAURU,17064430,SP,"-22,3008094","-49,0942451"
316,AVENIDA SAO GABRIEL,477,JARDIM PAULISTA,SAO PAULO,01435001,SP,"-23,5787839","-46,6709915"
318,RUA CORONEL LIMA ROCHA,628,PINHEIRO,MACEIO,57055502,AL,"-9,6386866","-35,7414187"
319,RUA JOAO PINTO DE OLIVEIRA,480,JARDIM GUARANI,SAO PAULO,02849110,SP,"-23,4613552","-46,6877888"
321,ESTRADA AMELIA B DOS SANTOS,113,MORRETES,BALNEARIO PICARRAS,88380000,SC,"-26,7684656","-48,6804184"
323,RUA HELIO DE OLIVEIRA,67,SANTA TERESA,SALVADOR,40265020,BA,"-12,9767211","-38,4839218"
325,RUA EMILIO TEODORO SILVA,30,CENTRO,SAO THOME DAS LETRAS,37418000,MG,"-21,7218513","-44,983291"
327,RUA PROFESSOR SA NUNES,24,IRAJA,RIO DE JANEIRO,21231030,RJ,"-22,8305297","-43,323059"
329,AVENIDA PEDRO PINTO DE SOUZA,108,CENTRO,ERECHIM,99700096,RS,"-27,6365829","-52,2744942"
331,ALAMEDA G,162,NOVA RESTINGA,PORTO ALEGRE,91220580,RS,"-30,0928313","-51,2441011"
333,AVENIDA GERMANO HOFFMANN,199,CENTRO,ERECHIM,99700036,RS,"-27,6298583","-52,2790545"
335,RUA SILVA VASCONCELLOS,362,CENTRO,ARARUAMA,28970000,RJ,"-22,8636192","-42,3336313"
337,RUA JOAO ANTONIO OLIVEIRA,50,VALFLOR,EMBU GUACU,06900000,SP,"-23,7535997","-46,8003458"
339,AVENIDA FEIRA DE SANTANA,150,JARDIM VALE DO SOL,SAO JOSE DOS CAMPOS,12238000,SP,"-23,256287","-45,9118653"
341,RUA ABOLICAO,1028,VILA SANTA CATARINA,AMERICANA,13466280,SP,"-22,7513369","-47,3316866"
343,RUA DOUTOR SHIGEO MORI,1390,BARAO GERALDO,CAMPINAS,13024500,SP,"-22,8218421","-47,0721005"
345,RUA CORONEL VIDAL,88,MARIANO PROCOPIO,JUIZ DE FORA,36080080,MG,"-21,7466113","-43,3639082"
347,TRAVESSA LUIZ SOBRAL,1123,CENTRO,NOVA IGUACU,26216111,RJ,"-22,7492042","-43,4397718"
349,LOCALIDADE CORREGO DO PRATA,SN,CORREGO DO PRATA,ADAMANTINA,17800000,SP,"-21,6824831","-51,0741711"
351,RUA TOMAZ FONSECA,833,COMENDADOR SOARES,NOVA IGUACU,26262020,RJ,"-22,7375023","-43,4849393"
353,RUA FRANCISCO SALES,116,CENTRO,POUSO ALEGRE,37550000,MG,"-22,229838","-45,9386684"
355,RUA PRUDENTE DE MORAIS,901,CENTRO,PIRACICABA,13400315,SP,"-22,7241818","-47,6468426"
357,RUA SAMPAIO VIDAL,93,JARDIM CHAPADAO,CAMPINAS,13070090,SP,"-22,8867261","-47,0800755"
359,RUA DRAGOES DA INDEPENDENC,281,VILA GUSTAVO,SAO PAULO,08210040,SP,"-23,4785556","-46,5967907"
361,RUA LUIZ DE VASCONCELOS,197,VILA NOGUEIRA,DIADEMA,09960250,SP,"-23,6936946","-46,5957633"
363,RUA JOAO CORDEIRO,967,VILA CARRAO,SAO PAULO,03435000,SP,"-23,5544169","-46,5293767"
365,RUA VILHENA DE MORAES,380,BARRA DA TIJUCA,RIO DE JANEIRO,22640000,RJ,"-22,9976251","-43,3755839"
367,VILA CINCO DA BOA VISTA,SN,QUINTO DISTRITO,CARLOS BARBOSA,95186000,RS,"-29,2950409","-51,5008921"
369,RUA JOSE GETULIO,547,LIBERDADE,SAO PAULO,01509001,SP,"-23,569844","-46,6333122"
371,RUA FREI H DE COIMBRA,766,VILA HAUER,CURITIBA,81630220,PR,"-25,4790904","-49,2495992"
373,AVENIDA SOROCABA,591,JARDIM DAS MAGNOLIAS,SOROCABA,18044390,SP,"-23,5151496","-47,4822957"
375,RUA BENJAMIN C MARGARIDA,96,VELHA,BLUMENAU,89041490,SC,"-26,9126258","-49,1171157"
377,AVENIDA GETULIO VARGAS,SN,CENTRO,VERE,85585000,PR,"-25,8809275","-52,9081285"
379,RUA CIDADE DE SAO SEBASTIAO,230,NOVA PETROPOLIS,SAO BERNARDO DO CAMPO,09770550,SP,"-23,710495","-46,5393111"
381,AVENIDA JOSE BENTO RIB DANTAS,534,ARMACAO DOS BUZIOS,CABO FRIO,28905090,RJ,"-22,8760986","-42,0357349"
383,RUA ANTONIO FALABELA,146,SANTA TEREZINHA,BELO HORIZONTE,31360200,MG,"-19,8764889","-44,0107216"
385,RUA ANTONIO DE O PORTES,271,POTIM,GUARATINGUETA,12510470,SP,"-22,8399228","-45,254401"
387,RUA ARATANJI,213,VILA NOVA CACHOEIRINHA,SAO PAULO,02613070,SP,"-23,4739836","-46,6613101"
389,LOTEAMENTO PRIMAVERA,SN,ZONA RURAL,PORTO ALEGRE DO NORTE,78655000,MT,"-10,88536","-51,638892"
391,AVENIDA CONTORNO DA MATO GROSSO,45A,JUNDIAI,ANAPOLIS,75045190,GO,"-16,328546","-48,953403"
393,RUA 1136,491,MARISTA,GOIANIA,74180150,GO,"-16,6985314","-49,2559653"
395,AVENIDA JEQUITAIA,2079,AGUA DE MENINOS,SALVADOR,40460120,BA,"-12,9583736","-38,5027362"
397,RUA TUIUTI,2420,CENTRO,SANTA MARIA,97050420,RS,"-29,6860406","-53,8019467"
399,RUA BECO DOS AMIGOS,23,SERRARIA,PORTO ALEGRE,91770300,RS,"-30,16273","-51,2284152"
401,VILA MORRO AZUL,SN,QUARTO DISTRITO,TORRES,95560000,RS,"-29,3344108","-49,723909"
403,ESTRADA FEDERAL BR,116,BELA VISTA,CAXIAS DO SUL,95000000,RS,"-18,6759421","-41,9888198"
405,LOCALIDADE BARREIROS,SN,SEDE,HERVAL D OESTE,89610000,SC,"-27,2006894","-51,4099625"
407,ESTRADA RS 30,227,LARANJEIRAS DISTRITO,OSORIO,95520972,RS,"-29,9034836","-50,2728046"
409,RUA AGUAS BRANCAS,256,BOM PRINCIPIO,GRAVATAI,94070130,RS,"-29,9341421","-51,0726757"
411,RUA BARAO DO CAMBAY,505,SEDE,SAO GABRIEL,97300000,RS,"-30,3387949","-54,3237449"
413,ESTRADA GERAL,-,LAGOA DOS ESTEVES,ICARA,88820000,SC,"-28,7139392","-49,3019108"
415,RUA CHICO CORREA,321,-,QUARAI,97560000,RS,"-30,3891141","-56,455346"
417,RUA SENADOR PINHEIRO MACHADO,803,CENTRO,SANTA CRUZ DO SUL,96810136,RS,"-29,7213634","-52,4300137"
419,RUA JOSE DUARTE DE PAIVA,534,CENTRO,SETE LAGOAS,35700059,MG,"-19,4560781","-44,2520589"
421,AVENIDA JACINTO SA,830,VILA PERINO,OURINHOS,19904565,SP,"-22,9746392","-49,86482"
423,RUA PROFESSOR GILCEU MACHADO,44,AMARAL,CACHOEIRO DE ITAPEMIRIM,29300000,ES,"-20,8573175","-41,1079944"
425,RUA JASMIM,156,SAGRADA FAMILIA,MONTES CLAROS,39401028,MG,"-16,7368647","-43,8652467"
427,RUA CORONEL ANTONIO A PEREIRA,545,CENTRO,UBERLANDIA,38401730,MG,"-18,9171324","-48,2741864"
429,RUA DO ARROZ,90,PENHA CIRCULAR,RIO DE JANEIRO,21011070,RJ,"-22,8184555","-43,2796098"
431,AVENIDA PAULINO FERNANDES,SN,JAMAPARA,SAPUCAIA,25880000,RJ,"-21,9912994","-42,9075598"
432,RUA VARZEA ALEGRE,SN,ALTO SANTA MARIA,SANTA TERESA,29650000,ES,"-19,9368278","-40,5983289"
434,RUA DO PASSEIO,70,CENTRO,RIO DE JANEIRO,20021290,RJ,"-22,9130672","-43,1774784"
436,RUA INHAMBU,902,INDIANOPOLIS,SAO PAULO,04520912,SP,"-23,6023785","-46,6696228"
438,AVENIDA PEDRO LESSA,905,PONTA DA PRAIA,SANTOS,11025001,SP,"-23,9762005","-46,3019789"
440,RUA COM AFONSO KHERLAKIAN,79,SE,SAO PAULO,08210040,SP,"-23,5411054","-46,6314614"
442,RUA 31 DE MARCO,64,SANTO ANTONIO,COLATINA,29700778,ES,"-19,5180946","-40,6542834"
