pk_endereco,nm_logradouro,nu_logradouro,nm_bairro,nm_municipio,cd_cep,sg_uf,vl_latitude,vl_longitude
2623,RUA BI,30,QUIXABINHA,MAURITI,63210000,CE,"-7,3829493","-38,7716665"
2625,PRACA DOS EXPEDICIONARIOS,167,CENTRO,LUMINARIAS,37240000,MG,"-21,5107696","-44,9041132"
2626,AVENIDA SATURNINO DE BRITO,652,SAO FRANCISCO,CRUZ ALTA,98040070,RS,"-28,6491829","-53,5918845"
2628,TRECHO 13 DE MAIO,44,CENTRO,CARUARU,55006001,PE,"-8,2865281","-35,9730475"
2630,AVENIDA VERIDIANO CARDOSO,441,COHAB,TUCURUI,68456760,PA,"-3,7709666","-49,6730825"
2632,AVENIDA ALBERTO PASSOS,32,CENTRO,CRUZ DAS ALMAS,44380000,BA,"-12,6715911","-39,1040352"
2634,AVENIDA 29 DE ABRIL,769,CENTRO,GUARATUBA,83280000,PR,"-25,8791843","-48,5708431"
2636,AVENIDA INDEPENDENCIA,2157,SETOR CENTRAL,GOIANIA,74465170,GO,"-16,6609031","-49,2412549"
2637,RUA RIBEIRO PRETO,540,VILA CARVALHO,RIBEIRAO PRETO,14075080,SP,"-21,1442601","-47,7930761"
2639,RUA IARA,369,JARDIM GLORIA LL,VARZEA GRANDE,78140670,MT,"-15,6313819","-56,1531901"
2641,RUA MOURA LIMA,100,JARDIM DA GLORIA,VESPASIANO,33200000,MG,"-19,7449753","-43,9530498"
2643,RUA 2,SN,SETOR RODOVIARIO,SAO LUIS DE MONTES BELOS,76100000,GO,"-16,5215267","-50,3775374"
2645,RUA NOSSA SENHORA DE FATIMA,223,ALTO DAS FLORES,BETIM,32605125,MG,"-19,9394118","-44,1738411"
2647,RUA ECOLOGIA,280,MUTIRAO,COELHO NETO,65620000,MA,"-4,2635218","-43,0238146"
2648,RUA OURIQUE,795,BRAS DE PINA,RIO DE JANEIRO,21011130,RJ,"-22,8243123","-43,2824412"
2650,RUA PADRE DARCI,178,CENTRO,BOM JESUS DO OESTE,89873000,SC,"-26,6913917","-53,0958292"
2652,RUA PROFESSOR DOUTOR SANDOVAL RIBEIRO RIBAS,85,CIDADE INDUSTRIAL CURITIBA,CURITIBA,81270310,PR,"-25,4508381","-49,353386"
2653,RUA SETE DE SETEMBRO,1213,CENTRO,GOVERNADOR VALADARES,35010171,MG,"-18,8536033","-41,9524753"
2655,RUA DOS CARTEIROS,120,INDUSTRIAS,JOAO PESSOA,58083110,PB,"-7,176045","-34,9203005"
2656,RODOVIA BR 40,-,ZONA RURAL,LAGOA GRANDE,38755000,MG,"-17,8433292","-46,5175779"
2657,RUA MORRO DO CHAPEU,57,NOVA AMERICA,AMERICA DOURADA,44910000,BA,"-11,4353949","-41,4318178"
2658,PRACA ANTONIO RIBEIRO CUNHA,110,CENTRO,SANTA BARBARA,44150970,BA,"-11,9529863","-38,9762659"
2660,RUA LUIZA MARIA DE JESUS,78,VILA DAS FLORES,BETIM,32605260,MG,"-19,9318014","-44,1812993"
2661,RUA PIMENTA DE PADUA,2486,CENTRO,SAO SEBASTIAO DO PARAISO,37950000,MG,"-20,9206699","-46,9782954"
2663,RUA WALFRIDA VERSTEG,589,CINQUENTENARIO,CAXIAS DO SUL,95012550,RS,"-29,1662216","-51,2139882"
2665,RUA DO PARQUE,1234,LIRA,ESTANCIA VELHA,93600000,RS,"-29,6517658","-51,188435"
2666,RUA MARECHAL DELFINO CALVO,37,CENTRO,SAO DOMINGOS DO MARANHAO,65790000,MA,"-5,5813433","-44,3825889"
2668,RUA ITAPEROA,62,ROCHA MIRANDA,RIO DE JANEIRO,21545160,RJ,"-22,8480604","-43,3433264"
2670,FAZENDA PADROEIRA,SN,TRIOLANDIA,RIBEIRAO DO PINHAL,86490000,PR,"-23,4050471","-50,3569012"
2672,RUA ANITA GARIBALDI,620,JARDIM VICTORIA,CAIEIRAS,07714570,SP,"-23,3612198","-46,7401869"
2673,RUA AVOEIRAS,298,ALVORADA,MANAUS,69042140,AM,"-3,1190275","-60,0217314"
2675,RUA PROFMARIA FLORA PAUSEWANG,90,TRINDADE,FLORIANOPOLIS,88036800,SC,"-27,5972691","-48,5195275"
2676,RUA FIANDEIRAS,271,VILA OLIMPIA,SAO PAULO,04545001,SP,"-23,5971522","-46,6765888"
2678,AVENIDA PAVAO,683,INDIANOPOLIS,SAO PAULO,04516012,SP,"-23,6056294","-46,6691195"
2680,RUA DO ROSARIO,145B,CENTRO,PIEDADE DO RIO GRANDE,36227970,MG,"-21,4683426","-44,1934922"
2681,RUA CUSTODIO MOULAIS,20,VARGEM G DO SOTURNO,CACHOEIRO DE ITAPEMIRIM,29321000,ES,"-20,8467047","-41,1202199"
2683,RUA QUINTINO BOCAIUVA,84,CENTRO,SAO PAULO,01004010,SP,"-23,5493919","-46,6350313"
2685,AVENIDA DOM PEDRO II,1516,CENTRO,SALTO,13320241,SP,"-23,1991303","-47,301482"
2686,RUA FRANCISCO AMARAL,498,CENTRO,TENENTE LAURENTINO CRUZ,59338000,RN,"-6,135919","-36,7137021"
2688,RUA FRAIBURGO,101,BONJI,RECIFE,50751190,PE,"-8,068527","-34,9168283"
2690,GALERIA PIO,56,CENTRO,JUIZ DE FORA,36010240,MG,"-21,7610728","-43,3483165"
2692,QUADRA 48,SN,JARDIM DA BARRAGEM II,AGUAS LINDAS DE GOIAS,72911205,GO,"-15,7755037","-48,2753259"
2694,RUA JOSE GARIALDI II,127,CASTELO,BATATAIS,14300000,SP,"-20,8933441","-47,5925952"
2696,ESTRADA DO PEDROSO,1309,JARDIM SANTO ANDRE,SANTO ANDRE,09132400,SP,"-23,7095215","-46,5014501"
2698,RUA 116,-,JARDIM MALUCHE,BRUSQUE,88359321,SC,"-27,8402832","-50,3394155"
2700,ESTRADA BR 101,-,AMPARO,SANTO ANTONIO DE JESUS,44570535,BA,"-12,9787723","-39,2838708"
